,0,1
103RD ST,40.796092,-73.961454
104TH ST-102ND ST,40.695178,-73.84433
104TH ST-OXFORD AV,40.681711,-73.837683
110TH ST,40.79502,-73.94425
110TH ST-CENTRAL PARK NORTH,40.799075,-73.951822
111TH ST,40.697418,-73.836345
111TH ST-GREENWOOD AV,40.684331,-73.832163
116TH ST,40.805085,-73.954882
116TH ST-COLUMBIA UNIVERSITY,40.807722,-73.96411
121ST ST,40.700492,-73.828294
125TH ST,40.811109,-73.952343
135TH ST,40.817894,-73.947649
137TH ST-CITY COLLEGE,40.822008,-73.953676
138TH ST,40.813224,-73.929849
138TH ST-3RD AVE,40.810476,-73.926138
145TH ST,40.820421,-73.936245
149TH ST-3RD AV,40.816109,-73.917757
149TH ST-GRAND CONCOURSE,40.818375,-73.927351
14TH ST,40.737826,-74.000201
14TH ST-UNION SQUARE,40.734673,-73.989951
155TH ST,40.830135,-73.938209
157TH ST,40.834041,-73.94489
163RD ST - AMSTERDAM AV,40.836013,-73.939892
167TH ST,40.833769,-73.918432
168TH ST,40.840556,-73.940133
168TH ST - WASHINGTON HEIGHTS,40.840719,-73.939561
169TH ST,40.71047,-73.793604
170TH ST,40.839306,-73.9134
174-175TH STS,40.8459,-73.910136
174TH ST,40.837288,-73.887734
175TH ST,40.847391,-73.939704
176TH ST,40.84848,-73.911794
181ST ST,40.849505,-73.933596
182ND-183RD STS,40.856093,-73.900741
183RD ST,40.858407,-73.903879
18TH AV,40.629755,-73.976971
18TH ST,40.74104,-73.997871
190TH ST,40.859022,-73.93418
191ST ST,40.855225,-73.929412
1ST AV,40.730953,-73.981628
207TH ST,40.864614,-73.918819
20TH AV,40.604556,-73.998168
215TH ST,40.869444,-73.915279
219TH ST,40.883895,-73.862633
21ST ST,40.754203,-73.942836
225TH ST,40.888022,-73.860341
231ST ST,40.878856,-73.904834
233RD ST,40.893193,-73.857473
238TH ST,40.884667,-73.90087
238TH ST-NEREID AV,40.898379,-73.854376
23RD ST,40.745906,-73.998041
23RD ST-ELY AV,40.747846,-73.946
25TH AV,40.597704,-73.986829
25TH ST,40.660397,-73.998091
28TH ST,40.74307,-73.984264
2ND AV,40.723402,-73.989938
30 AV-GRAND AV,40.766779,-73.921479
33RD ST,40.746081,-73.982076
34TH ST,40.749567,-73.98795
36 AV-WASHINGTON AV,40.756804,-73.929575
36TH ST,40.655144,-74.003549
39 AV-BEEBE AV,40.752882,-73.932755
3RD AV,40.732849,-73.986122
42ND ST,40.757308,-73.989735
45 RD-COURT HOUSE SQ,40.747023,-73.945264
45TH ST,40.648939,-74.010006
46TH ST,40.756312,-73.913333
47-50TH STS ROCKEFELLER CENTER,40.758663,-73.981329
49TH ST,40.759901,-73.984139
4TH AV,40.670272,-73.989779
50TH ST,40.63626,-73.994791
51ST ST,40.757107,-73.97192
53RD ST,40.645069,-74.014034
55TH ST,40.631435,-73.995476
57TH ST,40.764664,-73.980658
59TH ST,40.641362,-74.017881
59TH ST-COLUMBUS CIRCLE,40.768247,-73.981929
5TH AV,40.753821,-73.981963
5TH AV-53RD ST,40.760167,-73.975224
62ND ST,40.626472,-73.996895
63RD DRIVE-REGO PARK,40.729846,-73.861604
65TH ST,40.749669,-73.898453
66TH ST-LINCOLN CENTER,40.77344,-73.982209
67TH AV,40.726523,-73.852719
68TH ST-HUNTER COLLEGE,40.768141,-73.96387
6TH AV,40.737335,-73.996786
71ST ST,40.619589,-73.998864
72ND ST,40.778453,-73.98197
75TH AV,40.718331,-73.837324
77TH ST,40.629742,-74.02551
79TH ST,40.613501,-74.00061
7TH AV,40.666271,-73.980305
80TH ST-HUDSON ST,40.679371,-73.858992
81ST ST - MUSEUM OF NATURAL HISTORY,40.781433,-73.972143
82ND ST-JACKSON HEIGHTS,40.747659,-73.883697
86TH ST,40.779492,-73.955589
88TH ST-BOYD AV,40.679843,-73.85147
8TH AV,40.739777,-74.002578
8TH ST,40.730328,-73.992629
90TH ST ELMHURST,40.748408,-73.876613
95TH ST,40.616622,-74.030876
96TH ST,40.791646,-73.964699
9TH AV,40.646292,-73.994324
9TH ST,40.670847,-73.988302
ALABAMA AV,40.676992,-73.898654
ALLERTON AV,40.865462,-73.867352
AQUEDUCT RACETRACK,40.672131,-73.835812
AQUEDUCT-NORTH CONDUIT AV,40.668234,-73.834058
ASTOR PLACE,40.730054,-73.99107
ASTORIA BLVD-HOYT AV,40.770258,-73.917843
ATLANTIC AV,40.675345,-73.903097
ATLANTIC AV-BARCLAYS CTR,40.684359,-73.977666
AV H,40.62927,-73.961639
AV I,40.625322,-73.976127
AV J,40.625039,-73.960803
AV M,40.617618,-73.959399
AV N,40.61514,-73.974197
AV P,40.608944,-73.973022
AV U,40.597473,-73.979137
AV X,40.58962,-73.97425
BAY 50TH ST,40.588841,-73.983765
BAY PARKWAY,40.601875,-73.993728
BAY PARKWAY-22ND AV,40.611815,-73.981848
BAY RIDGE AV,40.634967,-74.023377
BAYCHESTER AV,40.878663,-73.838591
BEACH 105TH ST,40.583209,-73.827559
BEACH 25TH ST,40.600066,-73.761353
BEACH 36TH ST,40.595398,-73.768175
BEACH 44TH ST,40.592943,-73.776013
BEACH 60TH ST,40.592374,-73.788522
BEACH 67TH ST,40.590927,-73.796924
BEACH 90TH ST,40.588034,-73.813641
BEACH 98TH ST,40.585307,-73.820558
BEDFORD AV,40.717304,-73.956872
BEDFORD PARK BLVD,40.873244,-73.887138
BEDFORD PARK BLVD-LEHMAN COLLEGE,40.873412,-73.890064
BEDFORD-NOSTRAND AVS,40.689627,-73.953522
BERGEN ST,40.680829,-73.975098
BEVERLY RD,40.644031,-73.964492
BLEECKER ST,40.725915,-73.994659
BLISS ST-46TH ST,40.743132,-73.918435
BOROUGH HALL,40.692404,-73.990151
BOTANIC GARDENS,40.670343,-73.959245
BOWERY,40.72028,-73.993915
BOWLING GREEN,40.704817,-74.014065
BRIARWOOD-VAN WYCK BLVD,40.709179,-73.820574
BRIGHTON BEACH,40.577621,-73.961376
BROAD CHANNEL,40.608382,-73.815925
BROAD ST,40.706476,-74.011056
BROADWAY,40.76182,-73.925508
BROADWAY JUNCTION-EAST NEW YORK,40.678334,-73.905316
BROADWAY-74TH ST,40.746848,-73.891394
BROADWAY-LAFAYETTE ST,40.725297,-73.996204
BROADWAY-NASSAU,40.710197,-74.007691
BRONX PARK EAST,40.848828,-73.868457
BROOK AV,40.807566,-73.91924
BROOKLYN BRIDGE-CITY HALL,40.713889,-74.003654
BUHRE AV,40.84681,-73.832569
BURKE AV,40.871356,-73.867164
BURNSIDE AV,40.853453,-73.907684
BUSHWICK AV,40.682829,-73.905249
CANAL ST,40.718803,-74.000193
CANAL ST (UL),40.719527,-74.001775
CANARSIE - ROCKAWAY PARKWAY,40.645757,-73.9025
CARROLL ST,40.680303,-73.995048
CASTLE HILL AV,40.834255,-73.851222
CATHEDRAL PARKWAY-110TH ST,40.800605,-73.958158
CENTRAL AV,40.697857,-73.927397
CHAMBERS ST,40.715478,-74.009266
CHAUNCEY ST,40.682893,-73.910456
CHRISTOPHER ST,40.733422,-74.002906
CHURCH AV,40.650843,-73.949575
CITY HALL,40.713282,-74.006978
CLARK ST,40.697466,-73.993086
CLASSON AV,40.688873,-73.96007
CLEVELAND ST,40.679947,-73.884639
CLINTON & WASHINGTON AVS,40.683263,-73.965838
CLINTON-WASHINGTON AVS,40.688089,-73.966839
CORTELYOU RD,40.640927,-73.963891
CORTLANDT ST,40.710668,-74.011029
COURT ST,40.6941,-73.991777
CRESCENT ST,40.683194,-73.873785
CYPRESS AV,40.805368,-73.914042
